ranking_risco_meta,id_municipio,id_municipio_nome,sigla_uf,alunos,historico_2023,meta_2024,taxa_prevista_2024,gap_previsto,alerta_nao_atingir,taxa_observada_2024,gap_observado,nao_atingiu_observado,probabilidade_media_risco
340,2604007,Carpina,PE,570,65.28,67.68,67.42238272701788,0.2576172729821309,True,59.29824561403508,8.381754385964925,True,0.3257761727298212
341,5008305,Três Lagoas,MS,1634,69.86,71.48,71.22916064013414,0.25083935986586425,True,82.98653610771115,-11.506536107711142,False,0.2877083935986585
342,2610400,Parnamirim,PE,175,48.66,53.79,53.54093373863332,0.24906626136667853,True,59.42857142857143,-5.6385714285714315,False,0.4645906626136668
343,3528007,Macatuba,SP,182,65.03,67.48,67.23743467658618,0.24256532341382808,True,62.637362637362635,4.842637362637369,True,0.3276256532341383
344,3549102,São João da Boa Vista,SP,627,54.57,58.790005,58.59605835288328,0.19394664711671794,True,61.72248803827751,-2.9324830382775104,False,0.4140394164711671
345,2507507,João Pessoa,PB,5447,47.852154,52.13,51.960504623775314,0.16949537622468824,True,55.81053791077657,-3.6805379107765646,False,0.4803949537622469
346,3551306,Sebastianópolis do Sul,SP,34,83.75,80.0,79.87322435824976,0.12677564175024258,True,76.47058823529412,3.529411764705884,True,0.2012677564175025
347,1703206,Bernardo Sayão,TO,56,52.8,57.3,57.21359248089689,0.08640751910310485,True,58.92857142857143,-1.6285714285714334,False,0.4278640751910312
348,4103404,Cafeara,PR,33,80.11,80.0,79.94092034609325,0.05907965390674974,True,63.63636363636363,16.363636363636367,True,0.2005907965390675
349,3162203,São João Batista do Glória,MG,88,82.43,80.0,79.95307515216402,0.04692484783598161,True,84.0909090909091,-4.0909090909090935,False,0.2004692484783597
350,3304524,Rio das Ostras,RJ,1585,65.82,68.13,68.09852250212106,0.03147749787893872,True,68.89589905362776,-0.7658990536277628,False,0.3190147749787894
351,4204103,Caxambu do Sul,SC,46,69.54,71.21,71.18844038657448,0.021559613425509383,True,58.69565217391305,12.514347826086947,True,0.2881155961342552
352,3552205,Sorocaba,SP,6334,49.16648,53.150005,56.68936436410462,-3.5393593641046195,False,55.09946321439848,-1.9494582143984829,False,0.4331063563589537
353,3118601,Contagem,MG,4601,54.81266,58.08,65.83120990623101,-7.751209906231011,False,70.61508367746143,-12.53508367746143,False,0.3416879009376899
354,3541000,Praia Grande,SP,3853,50.73,55.55,56.512354705290605,-0.9623547052906076,False,51.128990397093176,4.421009602906821,True,0.434876452947094
355,3552502,Suzano,SP,3638,45.226624,48.1,56.07924319050795,-7.979243190507951,False,51.53930731170973,-3.439307311709726,False,0.4392075680949204
356,3551009,São Vicente,SP,3048,42.81177,49.009995,51.0818618830733,-2.071866883073298,False,48.68766404199475,0.3223309580052529,True,0.489181381169267
357,3506003,Bauru,SP,2786,49.107952,49.57,57.896417255521406,-8.326417255521406,False,59.97846374730796,-10.408463747307962,False,0.4210358274447859
358,4204202,Chapecó,SC,2707,56.038834,60.17,60.33836241482735,-0.16836241482734948,False,59.21684521610639,0.9531547838936092,True,0.3966163758517264
359,3552403,Sumaré,SP,2702,54.12936,57.39,60.35504619372269,-2.965046193722692,False,58.10510732790526,-0.7151073279052582,False,0.396449538062773
360,3516408,Franco da Rocha,SP,1792,50.49293,55.69,57.56607900624476,-1.8760790062447654,False,48.38169642857143,7.308303571428567,True,0.4243392099375523
361,3530706,Mogi Guaçu,SP,1351,51.399998,56.12,56.949274384459144,-0.829274384459147,False,63.65655070318282,-7.536550703182826,False,0.4305072561554085
362,3554003,Tatuí,SP,1236,51.1,55.87,57.727668808175196,-1.8576688081751982,False,53.96440129449837,1.9055987055016246,True,0.4227233119182481
363,3118304,Conselheiro Lafaiete,MG,1226,68.92716,67.43,78.64993541211393,-11.219935412113927,False,83.5236541598695,-16.093654159869487,False,0.2135006458788606
364,2304202,Crato,CE,1210,93.55,80.0,95.26444947191825,-15.264449471918255,False,95.37190082644628,-15.371900826446279,False,0.0473555052808174
365,3152501,Pouso Alegre,MG,1194,54.82608,62.41,71.05772382453877,-8.647723824538772,False,68.92797319932998,-6.517973199329987,False,0.2894227617546123
366,3556503,Várzea Paulista,SP,1188,48.73,53.85,55.096324599558585,-1.2463245995585837,False,53.198653198653204,0.6513468013467971,True,0.4490367540044141
367,3151800,Poços de Caldas,MG,1117,58.12793,61.729996,72.38173369730524,-10.651737697305236,False,78.51387645478961,-16.78388045478961,False,0.2761826630269477
368,3513504,Cubatão,SP,1093,48.692207,53.65,56.24410412030033,-2.5941041203003294,False,45.10521500457456,8.544784995425438,True,0.4375589587969966
369,2313401,Tianguá,CE,1093,84.36,80.0,85.79061984763044,-5.790619847630438,False,86.00182982616651,-6.001829826166514,False,0.1420938015236956
370,3503307,Araras,SP,1043,60.713478,61.73,65.75442721599947,-4.024427215999474,False,65.29242569511025,-3.5624256951102566,False,0.3424557278400054
371,3536505,Paulínia,SP,1040,48.49,53.65,55.55392161970031,-1.9039216197003128,False,61.92307692307693,-8.273076923076928,False,0.4444607838029969
372,3131703,Itabira,MG,989,57.115704,60.96,72.02330679114807,-11.063306791148072,False,69.76744186046511,-8.807441860465111,False,0.2797669320885192
373,3550704,São Sebastião,SP,985,39.21,45.57,51.82278055245024,-6.25278055245024,False,43.95939086294416,1.6106091370558389,True,0.4817721944754976
374,3147006,Paracatu,MG,951,67.14365,68.02,78.59000932648576,-10.57000932648576,False,69.19032597266036,-1.1703259726603648,False,0.2140999067351424
375,2304285,Eusébio,CE,949,92.64,80.0,95.0054367063786,-15.005436706378603,False,93.88830347734456,-13.888303477344564,False,0.049945632936214
376,1301209,Coari,AM,932,48.142235,45.17,48.91087048548654,-3.740870485486539,False,40.7725321888412,4.397467811158805,True,0.5108912951451346
